reagent_type,reagent_id,smiles
core,Core_01,CC(=O)NC(C)(C)[C@@H]1CC2(CCN(CC2)C(=O)OC(C)(C)C)c3cc(Cl)c(C)cc13
core,Core_02,CN1C(=O)C[C@](C)(N/C/1=N/C(=O)OC(C)(C)C)c2sccc2Cl
core,Core_03,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cc(Br)cnc24)CC1
core,Core_04,Brc1ccc(cn1)c2ccccc2
core,Core_05,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(Br)c4C3
core,Core_06,CCN1C(=O)N(CCO)c2nc(N[C@@H]3CCC[C@H]3O)n(Cc4ccc(OC)c(Br)c4)c2C1=O
core,Core_07,CN1C(=O)C[C@](C)(N/C/1=N/C(=O)OC(C)(C)C)c2cc(Br)cs2
core,Core_08,Oc1c(nc(Br)c2cccnc12)C(=O)NCc3ccc(F)cc3
core,Core_09,Brc1cc(ccn1)c2cc3C(=O)NCCc3[nH]2
core,Core_10,Brc1nc(cs1)C(=O)Nc2ccccc2N3CCNCC3
core,Core_11,CCCC1=Nc2ccc(I)cc2C(=O)N1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C
core,Core_12,Ic1c[nH]c2ncccc12
monomer,MFCD00674177,OB(O)c1cccnc1
monomer,MFCD03788418,OB(O)c1ccc(cc1)C(=O)NC2CCCC2
monomer,MFCD03789252,CC1(C)OB(OC1(C)C)c2cnn(Cc3ccccc3)c2
monomer,MFCD05663845,CC1(C)OB(OC1(C)C)C2=CCCCC2
monomer,MFCD05663854,CN(C)c1ccc(cc1)B2OC(C)(C)C(C)(C)O2
monomer,MFCD09999194,CC1(C)OB(OC1(C)C)c2cn(c3ncccc23)S(=O)(=O)c4ccccc4
monomer,MFCD11878349,CC1(C)OB(OC1(C)C)c2cnc(nc2)n3cccn3
monomer,MFCD16994280,Cc1cc(O)ccc1B2OC(C)(C)C(C)(C)O2
monomer,MFCD18383786,CC1(C)OB(OC1(C)C)c2ccc(cc2)c3cnccn3
monomer,MFCD19439767,CC1(C)OB(OC1(C)C)c2cccc(c2)C3(CC3)NC(=O)OCc4ccccc4
