model,position,feature,source_field,block
ligand_ohe,1,cat__ligand_AmPhos,ligand,ligand
ligand_ohe,2,cat__ligand_CataCXium A,ligand,ligand
ligand_ohe,3,cat__ligand_P(Cy)3,ligand,ligand
ligand_ohe,4,cat__ligand_P(Ph)3,ligand,ligand
ligand_ohe,5,cat__ligand_P(o-Tol)3,ligand,ligand
ligand_ohe,6,cat__ligand_P(tBu)3,ligand,ligand
ligand_ohe,7,cat__ligand_SPhos,ligand,ligand
ligand_ohe,8,cat__ligand_XPhos,ligand,ligand
ligand_ohe,9,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
ligand_ohe,10,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
ligand_ohe,11,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
ligand_ohe,12,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
ligand_ohe,13,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,14,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,15,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,16,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,17,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,18,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,19,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,20,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
ligand_ohe,21,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
ligand_ohe,22,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
ligand_ohe,23,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
ligand_ohe,24,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
ligand_ohe,25,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
ligand_ohe,26,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
ligand_ohe,27,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
ligand_ohe,28,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
ligand_ohe,29,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
ligand_ohe,30,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
ligand_ohe,31,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
ligand_ohe,32,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
ligand_ohe,33,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
ligand_ohe,34,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
ligand_ohe,35,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
ligand_ohe,36,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
selected_5,1,num__vbur_pct_boltz,vbur_pct_boltz,ligand
selected_5,2,num__vbur_pct_min,vbur_pct_min,ligand
selected_5,3,num__vbur_pct_delta,vbur_pct_delta,ligand
selected_5,4,num__dipolemoment_boltz,dipolemoment_boltz,ligand
selected_5,5,num__homo_lumo_gap_eV,homo_lumo_gap_eV,ligand
selected_5,6,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
selected_5,7,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
selected_5,8,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
selected_5,9,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
selected_5,10,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
selected_5,11,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
selected_5,12,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
selected_5,13,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
selected_5,14,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
selected_5,15,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
selected_5,16,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
selected_5,17,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
selected_5,18,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
selected_5,19,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
selected_5,20,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
selected_5,21,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
selected_5,22,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
selected_5,23,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
selected_5,24,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
selected_5,25,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
selected_5,26,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
selected_5,27,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
selected_5,28,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
selected_5,29,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
selected_5,30,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
selected_5,31,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
selected_5,32,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
selected_5,33,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
