task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
0,catalyst_ohe,split_000,lolo,Aphos G3,0,0,42,879,441,42,0.6733811296758692,23.841986565982523,17.163763494007977,0.6312361693381326,4.591466054170671,25.94316050903597,0.0488857457174289,0.07465144602338195,0.6258503401360545,34.99679170207305,0.8480725623582767,66.4949959310598,0.9455782312925171,101.69532048570464,5,15.225868551060557,fixed_epoch_budget_no_plateau_test
1,catalyst_ohe,split_001,lolo,RuPhos G3,0,1,42,1099,221,42,0.7354370016270636,19.99119596104123,14.902272967404993,0.680878648448523,4.4686881012333535,25.998763563406413,0.06405716589758523,0.11669401154204656,0.7194570135746606,35.07179908257796,0.8733031674208145,66.63751229381481,0.9864253393665159,101.91328045369761,5,9.55943130236119,fixed_epoch_budget_no_plateau_test
2,catalyst_ohe,split_002,lolo,Xphos G3,0,2,42,1103,217,42,0.5739352777585931,26.30640266084902,17.564688768065448,0.6191419497482934,4.69676482946084,24.19291860167332,0.059897796231236033,0.09253260622889278,0.6405529953917051,32.635751248313554,0.8064516129032258,62.008945418135056,0.8986175115207373,94.83449828037767,5,9.53727462515235,fixed_epoch_budget_no_plateau_test
3,catalyst_ohe,split_003,lolo,tBu3P G2,0,3,42,1094,226,42,0.7556420097181153,21.114318674088693,14.866067708288973,0.6602724999099806,4.493010531886881,25.23482058533525,0.06183825462192236,0.025184814779779862,0.6415929203539823,34.04125566569142,0.8495575221238938,64.67944765474701,0.9690265486725663,98.91867900717409,5,9.527610519900918,fixed_epoch_budget_no_plateau_test
4,catalyst_ohe,split_004,lolo,tBuXphos G3,0,4,42,1105,215,42,-0.009023694630446943,35.22985947754007,24.264455157360405,0.4525794865229716,5.358237850187229,22.92730405940566,0.11517844807736587,-0.07714954739468245,0.5255813953488372,30.928463175396264,0.6976744186046512,58.76504482209678,0.7813953488372093,89.87338043806812,5,9.52739498205483,fixed_epoch_budget_no_plateau_test
5,catalyst_ohe,split_005,iid_matched,,0,0,42,1056,264,42,0.7470473776888114,20.401560641727603,12.895803881312153,0.7032762735404172,4.441684888220102,22.96264633987889,0.08175067506750675,0.09148728925620858,0.7348484848484849,30.976139187251768,0.8787878787878788,58.855630731837564,0.928030303030303,90.01191963178624,5,15.763814263045788,fixed_epoch_budget_no_plateau_test
6,catalyst_ohe,split_006,iid_matched,,0,1,42,1056,264,42,0.8046296098390817,18.26209693302955,12.105224047606505,0.7052999727696353,4.3563493242546585,23.317969856840193,0.08295829582958297,0.11731543803623641,0.7424242424242424,31.455463327639812,0.8901515151515151,59.7663615507107,0.9696969696969697,91.40476222399475,5,10.007957474328578,fixed_epoch_budget_no_plateau_test
7,catalyst_ohe,split_007,iid_matched,,0,2,42,1056,264,42,0.8066741943027141,17.855622939821036,11.794979634670014,0.7318165139001367,4.350829519065499,23.327447631142356,0.08549804980498049,0.06287463373268387,0.7386363636363636,31.46824865088277,0.9166666666666666,59.79065406370034,0.9734848484848485,91.44191441656643,5,9.97515516448766,fixed_epoch_budget_no_plateau_test
8,catalyst_ohe,split_008,iid_matched,,0,3,42,1056,264,42,0.8232766734090596,16.625311941173802,11.194179539285678,0.7252597260722037,4.320383219087548,23.49283107844266,0.09422892289228924,0.07489421842617205,0.7878787878787878,31.691347530995067,0.8977272727272727,60.214548895306066,0.9772727272727273,92.09020561726177,5,10.06634518597275,fixed_epoch_budget_no_plateau_test
9,catalyst_ohe,split_009,iid_matched,,0,4,42,1056,264,42,0.8071723721457332,18.030764506832035,11.336397948750545,0.6874629902328,4.347862991648454,23.22979687199448,0.09670417041704171,0.1317132862287186,0.7727272727272727,31.336519778594553,0.9128787878787878,59.540365097175176,0.9659090909090909,91.05913047458078,5,10.089272388257086,fixed_epoch_budget_no_plateau_test
10,catalyst_ohe,split_010,kfold,,0,0,42,1056,264,42,0.7470473776888114,20.401560641727603,12.895803881312153,0.7032762735404172,4.441684888220102,22.96264633987889,0.08175067506750675,0.09148728925620858,0.7348484848484849,30.976139187251768,0.8787878787878788,58.855630731837564,0.928030303030303,90.01191963178624,5,15.410426505841315,fixed_epoch_budget_no_plateau_test
11,catalyst_ohe,split_011,kfold,,0,1,42,1056,264,42,0.8046296098390817,18.26209693302955,12.105224047606505,0.7052999727696353,4.3563493242546585,23.317969856840193,0.08295829582958297,0.11731543803623641,0.7424242424242424,31.455463327639812,0.8901515151515151,59.7663615507107,0.9696969696969697,91.40476222399475,5,7.269535291008651,fixed_epoch_budget_no_plateau_test
12,catalyst_ohe,split_012,kfold,,0,2,42,1056,264,42,0.8066741943027141,17.855622939821036,11.794979634670014,0.7318165139001367,4.350829519065499,23.327447631142356,0.08549804980498049,0.06287463373268387,0.7386363636363636,31.46824865088277,0.9166666666666666,59.79065406370034,0.9734848484848485,91.44191441656643,5,7.540184833109379,fixed_epoch_budget_no_plateau_test
13,catalyst_ohe,split_013,kfold,,0,3,42,1056,264,42,0.8232766734090596,16.625311941173802,11.194179539285678,0.7252597260722037,4.320383219087548,23.49283107844266,0.09422892289228924,0.07489421842617205,0.7878787878787878,31.691347530995067,0.8977272727272727,60.214548895306066,0.9772727272727273,92.09020561726177,5,7.918599492870271,fixed_epoch_budget_no_plateau_test
14,catalyst_ohe,split_014,kfold,,0,4,42,1056,264,42,0.8071723721457332,18.030764506832035,11.336397948750545,0.6874629902328,4.347862991648454,23.22979687199448,0.09670417041704171,0.1317132862287186,0.7727272727272727,31.336519778594553,0.9128787878787878,59.540365097175176,0.9659090909090909,91.05913047458078,5,7.720070290379226,fixed_epoch_budget_no_plateau_test
15,selected_2,split_000,lolo,Aphos G3,0,0,42,879,441,42,0.7581108135269932,20.517763977999145,15.02507799168722,0.6702538544000071,4.461119882332769,26.054052508607203,0.06324510002020611,0.42850432876223904,0.6780045351473923,35.146382736252136,0.891156462585034,66.77922356237357,0.9773242630385488,102.13000913637114,6,15.864519394934177,fixed_epoch_budget_no_plateau_test
16,selected_2,split_001,lolo,RuPhos G3,0,1,42,1099,221,42,0.7380490950686323,19.89226223870642,12.625731328164203,0.6956497320502028,4.430371811148323,23.342736093167264,0.08806505084897628,0.06591231314309179,0.755656108597285,31.488872472746902,0.8868778280542986,59.829839968585915,0.9411764705882353,91.5018440864621,6,7.632152760401368,fixed_epoch_budget_no_plateau_test
17,selected_2,split_002,lolo,Xphos G3,0,2,42,1103,217,42,0.7131906729386694,21.583422409080974,13.4517879850403,0.6984369730666388,4.498811636397708,22.12649638092463,0.07869598941460965,-0.06595907658826593,0.7096774193548387,29.848190033368716,0.8617511520737328,56.71249215398179,0.9216589861751152,86.73427202133627,6,7.466603957116604,fixed_epoch_budget_no_plateau_test
18,selected_2,split_003,lolo,tBu3P G2,0,3,42,1094,226,42,0.8500447055022972,16.54035024997048,9.605213921503747,0.746835067405074,4.296596226823469,22.41900155396588,0.11782002979058967,-0.020427608016977336,0.8230088495575221,30.242773515560028,0.9026548672566371,57.46221307886361,0.9646017699115044,87.88087123024125,6,7.451100596226752,fixed_epoch_budget_no_plateau_test
19,selected_2,split_004,lolo,tBuXphos G3,0,4,42,1105,215,42,-0.219603131542631,38.7319617171585,36.30575370501187,,5.121651496284373,31.702322006225582,0.18299792769974674,,0.17674418604651163,42.76578250122967,0.4325581395348837,81.25632079695487,1.0,124.27081871698748,6,7.450608796440065,fixed_epoch_budget_no_plateau_test
