model,position,feature,block
ligand_ohe,1,cat__ligand_AdBrettPhos,categorical
ligand_ohe,2,cat__ligand_XPhos,categorical
ligand_ohe,3,cat__ligand_t-BuBrettPhos,categorical
ligand_ohe,4,cat__ligand_t-BuXPhos,categorical
ligand_ohe,5,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
ligand_ohe,6,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
ligand_ohe,7,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
ligand_ohe,8,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
ligand_ohe,9,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
ligand_ohe,10,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
ligand_ohe,11,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
ligand_ohe,12,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
ligand_ohe,13,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
ligand_ohe,14,cat__aryl_halide_2-bromopyridine,categorical
ligand_ohe,15,cat__aryl_halide_2-chloropyridine,categorical
ligand_ohe,16,cat__aryl_halide_2-iodopyridine,categorical
ligand_ohe,17,cat__aryl_halide_3-bromopyridine,categorical
ligand_ohe,18,cat__aryl_halide_3-chloropyridine,categorical
ligand_ohe,19,cat__aryl_halide_3-iodopyridine,categorical
ligand_ohe,20,cat__base_BTMG,categorical
ligand_ohe,21,cat__base_MTBD,categorical
ligand_ohe,22,cat__base_P2Et,categorical
ligand_ohe,23,"cat__additive_3,5-dimethylisoxazole",categorical
ligand_ohe,24,cat__additive_3-methyl-5-phenylisoxazole,categorical
ligand_ohe,25,cat__additive_3-methylisoxazole,categorical
ligand_ohe,26,cat__additive_3-phenylisoxazole,categorical
ligand_ohe,27,cat__additive_4-phenylisoxazole,categorical
ligand_ohe,28,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
ligand_ohe,29,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
ligand_ohe,30,cat__additive_5-methylisoxazole,categorical
