model,ligand,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,AmPhos,384,0.8143014533295397,13.618616837169666,9.932420004208884
ligand_ohe,CataCXium A,384,0.7527783239263155,15.372193848922587,11.675152719815571
ligand_ohe,P(Cy)3,384,0.7596454990164586,14.514959968702026,10.566434065500895
ligand_ohe,P(Ph)3,384,0.6590972654302591,19.39751736153444,14.728890163699786
ligand_ohe,P(o-Tol)3,384,0.46610066693335117,20.065388200012848,15.024028043945629
ligand_ohe,P(tBu)3,384,0.5406788427119635,19.591098210828026,13.787098647356032
ligand_ohe,SPhos,384,0.47520373482299005,20.217438392788655,13.87428874373436
ligand_ohe,XPhos,384,0.2194358662953957,23.86755374906743,17.112672562797865
pc_scores,AmPhos,384,0.25315061209458023,27.311481780146167,24.888282680511477
pc_scores,CataCXium A,384,0.7109986315859891,16.6204404558553,12.471241265734037
pc_scores,P(Cy)3,384,0.7046768930344348,16.08934732996548,12.436158008972804
pc_scores,P(Ph)3,384,0.36914794737144063,26.387282524234447,24.387523590723674
pc_scores,P(o-Tol)3,384,-0.15644267837602732,29.531120967753587,26.324152070681254
pc_scores,P(tBu)3,384,0.43415973061023194,21.74440270074861,19.453045491576194
pc_scores,SPhos,384,0.8055414867006181,12.30677444719852,10.076832101742426
pc_scores,XPhos,384,0.20760578434628274,24.04773965920984,21.146938366889955
pc_top,AmPhos,384,0.20711992505828836,28.14054477677497,25.69645895719528
pc_top,CataCXium A,384,0.6527719711594351,18.217969332535773,14.39524914185206
pc_top,P(Cy)3,384,0.636334540114673,17.85421417263235,14.422289429505666
pc_top,P(Ph)3,384,0.4640483864788142,24.321687166580148,20.472877630591395
pc_top,P(o-Tol)3,384,0.42343851360752405,20.85166271967897,17.03582347273827
pc_top,P(tBu)3,384,0.1586400512449757,26.514990374485013,24.043450571298596
pc_top,SPhos,384,0.5463558630496823,18.79699438600171,16.468010850747426
pc_top,XPhos,384,0.10634325468181627,25.53812346096748,22.4820632481575
selected_2,AmPhos,384,0.877747438906237,11.049884325132297,7.894140175978343
selected_2,CataCXium A,384,0.7142489827087874,16.526712487167867,11.836759453217189
selected_2,P(Cy)3,384,0.5483965981637609,19.89611649378884,14.5356731402874
selected_2,P(Ph)3,384,0.4364965569633239,24.93900910322679,18.618700936834017
selected_2,P(o-Tol)3,384,0.27737218753015136,23.34399671816705,15.705550589760145
selected_2,P(tBu)3,384,0.6271369408446008,17.651240641575203,12.120764357844989
selected_2,SPhos,384,0.8465718797023847,10.931587686203201,8.021283856034279
selected_2,XPhos,384,0.8473447348474711,10.555030856396758,7.845464008053145
selected_5,AmPhos,384,0.0029259992704012694,31.556762742257863,28.79414481361707
selected_5,CataCXium A,384,0.7237181997469702,16.250574454635412,12.616165397365888
selected_5,P(Cy)3,384,0.5346315573412376,20.197061022659007,16.768614182670913
selected_5,P(Ph)3,384,0.5280282514638873,22.823850207674795,20.816474632223446
selected_5,P(o-Tol)3,384,0.2850906750893162,23.218991795342138,18.519376662770906
selected_5,P(tBu)3,384,0.45163395428848285,21.40601544754586,18.272880104780196
selected_5,SPhos,384,0.8675197157092911,10.157957378991261,7.819186450044316
selected_5,XPhos,384,0.808763411070094,11.813786217918109,9.889745030204454
