task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
0,ligand_ohe,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.8143014533295397,13.618616837169666,9.932420004208884,0.6923887718388273,4.03763095333638,15.125341698527336,0.049949463696369635,0.04882739649384558,0.6276041666666666,20.403775887740164,0.875,38.76781066628946,0.9609375,59.29024996595094,5,25.65817832760513,fixed_epoch_budget_no_plateau_test
1,ligand_ohe,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.7527783239263155,15.372193848922587,11.675152719815571,0.679595014909955,4.145306536673921,14.939232396582762,0.0850835396039604,0.1850761673052796,0.5494791666666666,20.152718254584638,0.7994791666666666,38.2907933317505,0.9270833333333334,58.56071490795242,5,18.633629329502583,fixed_epoch_budget_no_plateau_test
2,ligand_ohe,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.7596454990164586,14.514959968702026,10.566434065500895,0.6702751982887117,4.089754879690415,15.0442621037364,0.04256703795379538,0.18493535024114113,0.6067708333333334,20.294401176467087,0.8411458333333334,38.55999530301337,0.9479166666666666,58.97242379460826,5,18.59412471577525,fixed_epoch_budget_no_plateau_test
3,ligand_ohe,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.6590972654302591,19.39751736153444,14.728890163699786,0.6241262090682017,4.4495574418560455,15.044510712226232,0.15116955445544555,0.1871969513578802,0.4817708333333333,20.294736544223493,0.7213541666666666,38.560632512212074,0.8697916666666666,58.9733983219809,5,18.5740015078336,fixed_epoch_budget_no_plateau_test
4,ligand_ohe,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.46610066693335117,20.065388200012848,15.024028043945629,0.5938704896758279,4.513754668602465,15.1540712043643,0.17427289603960397,0.030899469329625985,0.4609375,20.442531402170623,0.7135416666666666,38.84144735265483,0.8723958333333334,59.40286755941909,5,18.725995023734868,fixed_epoch_budget_no_plateau_test
5,ligand_ohe,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.5406788427119635,19.591098210828026,13.787098647356032,0.6107261629612816,4.490582056884945,14.726424331466356,0.1104579207920792,0.053689684988640594,0.515625,19.865644537224487,0.7447916666666666,37.74534431372961,0.8880208333333334,57.72652262145681,5,19.155270647257566,fixed_epoch_budget_no_plateau_test
6,ligand_ohe,split_006,lolo,SPhos,0,6,42,2688,384,42,0.47520373482299005,20.217438392788655,13.87428874373436,0.6058042765858291,4.5723035072308695,14.700094846387705,0.03703589108910891,-0.12892089959648706,0.5598958333333334,19.8301266015975,0.7630208333333334,37.67785912808455,0.8671875,57.62331293648551,5,19.047462748363614,fixed_epoch_budget_no_plateau_test
7,ligand_ohe,split_007,lolo,XPhos,0,7,42,2688,384,42,0.2194358662953957,23.86755374906743,17.112672562797865,0.5170305815834829,4.957878615548906,14.530789782603582,0.045695132013201314,-0.05626801397036384,0.4583333333333333,19.60173754124013,0.6666666666666666,37.24391278899021,0.8098958333333334,56.959649281651245,5,18.784022006206214,fixed_epoch_budget_no_plateau_test
8,ligand_ohe,split_008,iid_matched,,0,0,42,2688,384,42,0.8998474549552278,9.636163540386544,6.854703836639722,0.7859590950665863,3.9074873944629265,16.818668380379677,0.10477722772277226,0.012939540876877693,0.8020833333333334,22.688038869026055,0.9739583333333334,43.107981586502085,0.9947916666666666,65.92796858693353,5,25.204966970719397,fixed_epoch_budget_no_plateau_test
9,ligand_ohe,split_009,iid_matched,,0,1,42,2688,384,42,0.9152443181963434,8.596482974823596,6.507400308450063,0.7932842408513022,3.8792929917317984,16.983108294506867,0.10932446369636961,-0.0013938574480349937,0.8203125,22.909864942229877,0.9765625,43.52945804527752,1.0,66.57256120555384,5,18.141466721892357,fixed_epoch_budget_no_plateau_test
10,ligand_ohe,split_010,iid_matched,,0,2,42,2688,384,42,0.9119589713737708,9.009648539788776,6.475744212468466,0.7924548848066042,3.888888106739627,16.917090435822804,0.11159240924092408,-0.05571424332847309,0.8333333333333334,22.820808204205292,0.9661458333333334,43.3602474649766,0.9947916666666666,66.3137759548394,5,18.22221597842872,fixed_epoch_budget_no_plateau_test
11,ligand_ohe,split_011,iid_matched,,0,3,42,2688,384,42,0.9005661116371164,9.439211939227178,7.1048039221763615,0.7770872167127058,3.9008906138213084,16.848848993579548,0.09774649339933993,-0.017899316740700555,0.8098958333333334,22.72875189754194,0.9635416666666666,43.18533761069286,0.9973958333333334,66.04627441673969,5,18.312811894342303,fixed_epoch_budget_no_plateau_test
12,ligand_ohe,split_012,iid_matched,,0,4,42,2688,384,42,0.9024549445147971,9.280518035711928,6.936378752390543,0.7877955428298073,3.8932052694480674,16.82405197620392,0.1008405528052805,-0.04116828233445603,0.7994791666666666,22.69530122943135,0.9739583333333334,43.12178029781572,0.9947916666666666,65.94907189477921,5,18.307017639279366,fixed_epoch_budget_no_plateau_test
13,ligand_ohe,split_013,iid_matched,,0,5,42,2688,384,42,0.9282198550755068,8.119949495663729,5.925402781963348,0.8125038281700824,3.86587065196782,17.000988001624744,0.12167388613861382,0.06336149164151775,0.8463541666666666,22.93398430060491,0.9765625,43.57528557857432,1.0,66.64264836956416,5,18.362218430265784,fixed_epoch_budget_no_plateau_test
14,ligand_ohe,split_014,iid_matched,,0,6,42,2688,384,42,0.9080261121173334,9.053100254401524,6.586486473282179,0.776719235359062,3.8969343757634696,17.082231037318707,0.11316006600660064,-0.004638279475094096,0.8411458333333334,23.0435794903057,0.9635416666666666,43.78351985774071,0.9947916666666666,66.9611152174739,5,18.273243769071996,fixed_epoch_budget_no_plateau_test
15,ligand_ohe,split_015,iid_matched,,0,7,42,2688,384,42,0.9028132706787354,9.484952108069976,6.874421497186025,0.7885331958202569,3.898044776995168,16.752639047801495,0.10421926567656765,0.015735309077345633,0.8177083333333334,22.598966652953507,0.96875,42.93874159742722,0.9921875,65.66913835938063,5,18.36125285178423,fixed_epoch_budget_no_plateau_test
16,ligand_ohe,split_016,kfold,,0,0,42,2457,615,42,0.8964227723642794,9.615138634120433,7.013168064892777,0.7780617623988545,3.9072799414610437,16.88988180548195,0.10131691217902276,-0.03214138685656919,0.8,22.78410431964173,0.9658536585365853,43.29050893935731,0.9934959349593496,66.20712008376591,5,25.3876988068223,fixed_epoch_budget_no_plateau_test
17,ligand_ohe,split_017,kfold,,0,1,42,2457,615,42,0.9092862463564427,9.143786901004189,6.771775901236186,0.784636941143292,3.8942426325336768,16.9300281710741,0.10673428318441601,-0.04567849327124771,0.808130081300813,22.83826094384079,0.9723577235772358,43.3934082147084,0.9967479674796748,66.36449094510752,5,18.491384672001004,fixed_epoch_budget_no_plateau_test
18,ligand_ohe,split_018,kfold,,0,2,42,2458,614,42,0.8949241375084793,9.6772797460837,7.354283836563557,0.777381292045263,3.9073543364139494,16.8162729359605,0.09337697939175026,-0.0045389278813769765,0.7899022801302932,22.68480746361026,0.9657980456026058,43.10184181541095,0.993485342019544,65.91857861735645,5,18.499217750504613,fixed_epoch_budget_no_plateau_test
19,ligand_ohe,split_019,kfold,,0,3,42,2458,614,42,0.9131597389209487,8.78983841310416,6.476868181756731,0.7995344777235034,3.8901171607210405,17.107907310759206,0.11196310510529878,-0.004924498862779627,0.8338762214983714,23.078216256823396,0.9739413680781759,43.84933079459075,0.998371335504886,67.06176435987507,5,18.125707993283868,fixed_epoch_budget_no_plateau_test
20,ligand_ohe,split_020,kfold,,0,4,42,2458,614,42,0.9124648233206566,9.023376539679226,6.663919758128809,0.7827789815315397,3.8938975660102284,17.01356570961421,0.10733060276711708,-0.0012732005146302453,0.8289902280130294,22.95095137084462,0.9739413680781759,43.60752354130404,0.995114006514658,66.691952078899,5,18.6213709814474,fixed_epoch_budget_no_plateau_test
21,selected_5,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.0029259992704012694,31.556762742257863,28.79414481361707,0.7186105989849602,4.870798925042214,31.827324534455936,0.06493502475247524,-0.16985341377926433,0.2708333333333333,42.934408349309614,0.8072916666666666,81.57671516845615,1.0,124.76081962360337,9,25.374482746236026,fixed_epoch_budget_no_plateau_test
22,selected_5,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.7237181997469702,16.250574454635412,12.616165397365888,0.7089693817121383,4.230951800543113,18.972479139765102,0.10729269801980199,-0.08228993591265131,0.640625,25.59348543116107,0.8671875,48.62842068765648,0.96875,74.37075162275414,9,18.142616408877075,fixed_epoch_budget_no_plateau_test
23,selected_5,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.5346315573412376,20.197061022659007,16.768614182670913,0.5783937081874936,4.445397604448685,23.40101981163025,0.09780321782178217,-0.0500052982265776,0.578125,31.56749601416009,0.8619791666666666,59.97922714986991,0.9713541666666666,91.73031206460713,9,18.070962326601148,fixed_epoch_budget_no_plateau_test
24,selected_5,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.5280282514638873,22.823850207674795,20.816474632223446,0.6815993494744211,4.610352896251514,30.055653676390648,0.10642223597359733,0.009848344084230376,0.4791666666666667,40.544460680337345,0.9557291666666666,77.03574004488951,1.0,117.81599747506907,9,18.05753689352423,fixed_epoch_budget_no_plateau_test
25,selected_5,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.2850906750893162,23.218991795342138,18.519376662770906,0.4912450124254146,4.591560133935386,27.581570918361347,0.157118399339934,-0.18944932352243057,0.6276041666666666,37.20697375748211,0.875,70.6944107812108,0.9739583333333334,108.11777127405117,9,18.184284176677465,fixed_epoch_budget_no_plateau_test
26,selected_5,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.45163395428848285,21.40601544754586,18.272880104780196,0.5268970033983329,4.532459978217452,27.242607931296032,0.11291460396039601,0.04512944627174392,0.515625,36.74971963653931,0.9322916666666666,69.82561368774036,0.9817708333333334,106.78906078057089,9,18.04477188270539,fixed_epoch_budget_no_plateau_test
27,selected_5,split_006,lolo,SPhos,0,6,42,2688,384,42,0.8675197157092911,10.157957378991261,7.819186450044316,0.7846107828613753,4.144720014357268,22.78946890930335,0.12381910066006599,-0.057637923434268074,0.8671875,30.742526383474768,0.9947916666666666,58.4117591172954,1.0,89.33307657805976,9,18.073929771780968,fixed_epoch_budget_no_plateau_test
28,selected_5,split_007,lolo,XPhos,0,7,42,2688,384,42,0.808763411070094,11.813786217918109,9.889745030204454,0.764659085396831,4.2998776855965914,26.629656677444775,0.10932549504950492,-0.22197407683700113,0.90625,35.92286096035429,1.0,68.25455640978915,1.0,104.38633601691664,9,18.073692900128663,fixed_epoch_budget_no_plateau_test
29,selected_5,split_008,iid_matched,,0,0,42,2688,384,42,0.9024114963790346,9.512014342488454,6.820780494014422,0.7902295770851173,3.9423164100145285,17.929113559424877,0.11279599834983496,-0.032591087111322095,0.8385416666666666,24.18600665186733,0.9635416666666666,45.954167101815734,0.9973958333333334,70.28083370240299,9,24.079420203343034,fixed_epoch_budget_no_plateau_test
30,selected_5,split_009,iid_matched,,0,1,42,2688,384,42,0.9130962114032853,8.704738951988936,6.620433708429338,0.7844985318628069,3.9275542747189918,18.056727851430576,0.1143780940594059,-0.062403148418161476,0.8307291666666666,24.358155715740082,0.984375,46.28125569322729,1.0,70.78107253489048,9,18.588923409581184,fixed_epoch_budget_no_plateau_test
31,selected_5,split_010,iid_matched,,0,2,42,2688,384,42,0.9153161922963543,8.836198926472973,6.44989399154981,0.7901973335644917,3.9376578155361286,18.09849040210247,0.11808168316831683,-0.15904195347733208,0.8333333333333334,24.414492540480556,0.9791666666666666,46.388297417616684,0.9973958333333334,70.94477872532936,9,18.614593875594437,fixed_epoch_budget_no_plateau_test
32,selected_5,split_011,iid_matched,,0,3,42,2688,384,42,0.8907263140211307,9.895239779634222,7.272551084955534,0.7659082581523654,3.956701456481509,17.80909153322379,0.10187190594059406,-0.09174599877928859,0.8125,24.024099398926534,0.96875,45.64653827066007,0.9895833333333334,69.81035600499168,9,18.625195993110538,fixed_epoch_budget_no_plateau_test
33,selected_5,split_012,iid_matched,,0,4,42,2688,384,42,0.8999650909685948,9.398215081918398,7.0461615455150595,0.7870883532942341,3.94094776212455,17.924917556345463,0.10617780528052802,0.04985398087552134,0.8125,24.18034632972962,0.9713541666666666,45.94341231318484,1.0,70.26438567257365,9,18.59452624619007,fixed_epoch_budget_no_plateau_test
34,selected_5,split_013,iid_matched,,0,5,42,2688,384,42,0.9158073549170639,8.794036009071307,6.575558243989946,0.7884862568973245,3.9318792137965004,18.08943982919057,0.11662128712871288,0.0678223864907938,0.8541666666666666,24.402283503155598,0.9817708333333334,46.36509986584806,0.9973958333333334,70.90930113143581,9,18.563010709360242,fixed_epoch_budget_no_plateau_test
