model,ligand,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,AdBrettPhos,990,0.8564076854129008,10.75287496923956,7.393583602003908
ligand_ohe,XPhos,990,-1.0682893280105215,25.20524264835749,18.24437091412182
ligand_ohe,t-BuBrettPhos,989,0.9283193195501966,7.684845927678826,5.621401738358114
ligand_ohe,t-BuXPhos,986,0.8125358135411707,12.180255990028032,8.311089264119742
pc_scores,AdBrettPhos,990,-0.00048372860151735253,28.38337354948819,24.506416130246237
pc_scores,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
pc_scores,t-BuBrettPhos,989,0.015126180749200802,28.485536377568902,24.291917453679286
pc_scores,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
pc_scores_long,AdBrettPhos,990,-0.00048372860151735253,28.38337354948819,24.506416130246237
pc_scores_long,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
pc_scores_long,t-BuBrettPhos,989,0.015994403831760873,28.472977787448244,24.282369189280914
pc_scores_long,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
pc_top,AdBrettPhos,990,-0.00048372860151735253,28.38337354948819,24.506416130246237
pc_top,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
pc_top,t-BuBrettPhos,989,-0.04143352785953058,29.292057822167298,24.99499269675843
pc_top,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
selected_2,AdBrettPhos,990,0.906170269384354,8.692190437579853,5.968313173940655
selected_2,XPhos,990,0.24349038307405602,15.243772679178077,12.028469923067195
selected_2,t-BuBrettPhos,989,0.928512559260828,7.674480375984943,5.51021933080263
selected_2,t-BuXPhos,986,0.4798260403971212,20.28951023217602,17.193368382416686
selected_5,AdBrettPhos,990,0.8995634998664769,8.993003932250106,6.214498895708016
selected_5,XPhos,990,-0.20860472997486368,19.267589364187064,17.167823269129652
selected_5,t-BuBrettPhos,989,0.8910489111929302,9.47436021380936,6.9583555373830475
selected_5,t-BuXPhos,986,0.13516386243418954,26.161592361409745,22.33210909605699
