task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
0,ligand_ohe,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,0.8606486267053544,10.592893952390265,7.987693934946099,0.7950481513636566,3.8912921185438543,15.405878509174693,0.07062706270627062,0.005631941881443207,0.706060606060606,20.78221429440885,0.9303030303030303,39.48685544404549,0.98989898989899,60.38993405636404,4,26.625310571864247,fixed_epoch_budget_no_plateau_test
1,ligand_ohe,split_001,lolo,XPhos,0,1,42,2965,990,42,-1.1272655642714424,25.56207425590704,18.835779018032156,0.6024482158022909,4.928344731274021,16.509756040091467,0.23817381738173815,0.005609643577440707,0.4595959595959596,22.27132245455909,0.6121212121212121,42.316207399877285,0.7767676767676768,64.71705446424379,4,19.170288395136595,fixed_epoch_budget_no_plateau_test
2,ligand_ohe,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,0.8467597920753793,11.236226145783034,8.4090029649621,0.8150026035100691,3.925592291125451,15.663137086843214,0.13073351420076285,0.07614567505472725,0.6865520728008089,21.129250841983723,0.9150657229524772,40.14623570996722,0.9858442871587462,61.39836915025264,4,19.15711046475917,fixed_epoch_budget_no_plateau_test
3,ligand_ohe,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,0.7061135452195372,15.250604029386954,11.471254748472822,0.7749224423547066,4.150156487745375,15.86218977844981,0.20372341493784268,-0.06221763476256501,0.5730223123732252,21.397768842458905,0.8255578093306288,40.65642828707583,0.9442190669371197,62.17864136340202,4,19.17647486925125,fixed_epoch_budget_no_plateau_test
4,ligand_ohe,split_004,iid_matched,,0,0,42,2966,989,42,0.9010639603223431,8.691801387734191,6.0737550350284,0.7982222204833587,3.756252928047478,14.134788698325625,0.10085534943787605,0.0266261537936764,0.8018200202224469,19.0675401964161,0.9555106167846309,36.22892116996266,0.9858442871587462,55.40735355560403,4,26.012906378135085,fixed_epoch_budget_no_plateau_test
5,ligand_ohe,split_005,iid_matched,,0,1,42,2966,989,42,0.9197921435398769,7.647710830626188,5.778833708222183,0.8258983518168922,3.732756279265824,14.50961641498716,0.10481414369950645,-0.0051872027711525335,0.8301314459049545,19.57317510237131,0.974721941354904,37.18964326415686,0.9959555106167847,56.87665120573202,4,18.483785423450172,fixed_epoch_budget_no_plateau_test
6,ligand_ohe,split_006,iid_matched,,0,2,42,2966,989,42,0.9030582439554117,8.373301312239716,5.966444337192094,0.8124984114914727,3.7466631365814322,14.223146282385043,0.10195096557178465,0.05661102968319231,0.80788675429727,19.186732766016434,0.9555106167846309,36.45539077032083,0.9919110212335692,55.75370892063889,4,18.486407722346485,fixed_epoch_budget_no_plateau_test
7,ligand_ohe,split_007,iid_matched,,0,3,42,2967,988,42,0.9130962811135083,8.130417792473652,6.005547744340056,0.8137318735031274,3.7389681163121606,14.246864679853926,0.09857898745340123,-0.03799657136291364,0.7904858299595142,19.218728397984105,0.9605263157894737,36.516183469137744,0.9949392712550608,55.84668333025893,4,18.484425286762416,fixed_epoch_budget_no_plateau_test
8,ligand_ohe,split_008,kfold,,0,0,42,3164,791,42,0.9045923563949817,8.679556977564005,6.1165574656666175,0.799071892775054,3.756901010206612,14.133698938468616,0.09928302311899963,-0.0011239553919065515,0.8078381795195955,19.066070132708642,0.9494310998735778,36.22612800306102,0.9873577749683944,55.40308177546095,4,25.98845800757408,fixed_epoch_budget_no_plateau_test
9,ligand_ohe,split_009,kfold,,0,1,42,3164,791,42,0.922458754930815,7.554207744613756,5.720594225443728,0.8265713467911863,3.7239263452619884,14.3865090356916,0.10442978558285665,-0.03758278426700069,0.8495575221238938,19.4071057713546,0.9721871049304678,36.874106354824214,0.9962073324905183,56.3940791464312,4,18.288385454565287,fixed_epoch_budget_no_plateau_test
