model,method,completed_fits,expected_fits,complete_method,run_complete,aggregation,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_test
ligand_ohe,lolo,4,4,True,True,mean_split_metrics,0.32156409993220714,15.660449595866824,11.675932666603295,0.7468553532576808,4.223846407172175,15.860240353639796,0.1608144523066536,0.0062924064377615375,0.60630773770765,21.39513910835264,0.8207619436768372,40.65143171024146,0.9241825051906332,62.17099975856562,
ligand_ohe,lolo,4,4,True,True,pooled_predictions,0.6223532096241076,16.769136208488145,11.676965698556307,0.6541106773889023,4.2239963474487245,15.860288218511492,0.04750447484697901,0.11290211251192632,0.6063211125158028,21.395203677083348,0.8207332490518331,40.65155439284396,0.9241466498103666,62.171187385414925,3955.0
ligand_ohe,iid_matched,4,4,True,True,mean_split_metrics,0.909252657232785,8.210807830768436,5.956145206195683,0.8125877143237127,3.743660115051724,14.27860401888794,0.10154986154064209,0.010013352335700632,0.8075810125960464,19.26154411569699,0.9615673726784097,36.59753466839452,0.9921625225660402,55.97109925305847,
ligand_ohe,iid_matched,4,4,True,True,pooled_predictions,0.9092652350983673,8.219675119120813,5.956132715035596,0.8131802922260687,3.7436613013978017,14.278612044005268,0.10122541963425169,0.014471571300969396,0.8075853350189633,19.261554941415753,0.9615676359039191,36.59755523759787,0.9921618204804046,55.97113071094034,3955.0
ligand_ohe,kfold,5,5,True,True,mean_split_metrics,0.9115382356569247,8.105884248849906,5.914778483543387,0.8140159984748083,3.7398222405339574,14.276955346060461,0.1019480041556621,-0.009165203284284534,0.8169405815423515,19.25932008984987,0.9603034134007584,36.59330894990827,0.993426042983565,55.96463657433018,
ligand_ohe,kfold,5,5,True,True,pooled_predictions,0.9115418932871491,8.115898617537464,5.914778483543387,0.8139310778747916,3.739822240533958,14.276955346060463,0.10188406704134381,-0.007337419380740112,0.8169405815423515,19.259320089849872,0.9603034134007585,36.59330894990827,0.9934260429835651,55.964636574330186,3955.0
ligand_ohe,kfold_5,5,5,True,True,mean_split_metrics,0.9113016299179867,8.109150305752035,5.934829299372322,0.8150854913958641,3.7391666742880325,14.279300293277398,0.10135289331714462,0.025849128957452283,0.8098609355246523,19.262483375575016,0.961567635903919,36.59931929146224,0.9926675094816687,55.973828598511865,
ligand_ohe,kfold_5,5,5,True,True,pooled_predictions,0.9116300103075474,8.111855308127003,5.934829299372323,0.8147336523500526,3.739166674288033,14.279300293277398,0.10125070408431487,0.01957055777588143,0.8098609355246523,19.262483375575016,0.9615676359039191,36.599319291462244,0.9926675094816688,55.97382859851186,3955.0
selected_2,lolo,4,4,True,True,mean_split_metrics,0.3270826564025703,16.333249606856185,13.578370835307037,0.6784511911759392,4.215394362474261,21.732039994917542,0.11881096447507285,0.007267732476784382,0.6160311534735471,29.31607645484638,0.9313879482967135,55.701459755928894,0.9924083682156766,85.18803140124481,
selected_2,lolo,4,4,True,True,pooled_predictions,0.5726415409511987,17.83873055306939,13.57346913252933,0.5844686906723391,4.215119027911071,21.729865437301463,0.0528535129113417,0.5315798858247383,0.6161820480404551,29.313143021199863,0.9314791403286978,55.69588614049438,0.9924146649810367,85.17950729202516,3955.0
selected_2,iid_matched,4,4,True,True,mean_split_metrics,0.913287196865123,8.030749763023103,5.815974157600819,0.8163368139561874,3.758495533543711,14.81781297372089,0.10778491777695103,0.024009908917795832,0.8227511738434521,19.988925942194527,0.9709230687358513,37.97958282883819,0.9941850231084438,58.0847595162866,
selected_2,iid_matched,4,4,True,True,pooled_predictions,0.9133069742694907,8.034518845351531,5.815946815109317,0.8166421059169382,3.75849502702562,14.817816124010628,0.10751398780838892,0.019545473438513823,0.8227560050568901,19.9889301918708,0.9709228824273072,37.979590903355685,0.9941845764854614,58.08477186519546,3955.0
