task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,state,error
0,ligand_ohe,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
1,ligand_ohe,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
2,ligand_ohe,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
3,ligand_ohe,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
4,ligand_ohe,split_004,iid_matched,,0,0,42,2966,989,42,completed,
5,ligand_ohe,split_005,iid_matched,,0,1,42,2966,989,42,completed,
6,ligand_ohe,split_006,iid_matched,,0,2,42,2966,989,42,completed,
7,ligand_ohe,split_007,iid_matched,,0,3,42,2967,988,42,completed,
8,ligand_ohe,split_008,kfold,,0,0,42,3164,791,42,completed,
9,ligand_ohe,split_009,kfold,,0,1,42,3164,791,42,completed,
10,ligand_ohe,split_010,kfold,,0,2,42,3164,791,42,completed,
11,ligand_ohe,split_011,kfold,,0,3,42,3164,791,42,completed,
12,ligand_ohe,split_012,kfold,,0,4,42,3164,791,42,completed,
13,ligand_ohe,split_013,kfold_5,,0,0,42,3164,791,42,completed,
14,ligand_ohe,split_014,kfold_5,,0,1,42,3164,791,42,completed,
15,ligand_ohe,split_015,kfold_5,,0,2,42,3164,791,42,completed,
16,ligand_ohe,split_016,kfold_5,,0,3,42,3164,791,42,completed,
17,ligand_ohe,split_017,kfold_5,,0,4,42,3164,791,42,completed,
18,selected_2,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
19,selected_2,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
20,selected_2,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
21,selected_2,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
22,selected_2,split_004,iid_matched,,0,0,42,2966,989,42,completed,
23,selected_2,split_005,iid_matched,,0,1,42,2966,989,42,completed,
24,selected_2,split_006,iid_matched,,0,2,42,2966,989,42,completed,
25,selected_2,split_007,iid_matched,,0,3,42,2967,988,42,completed,
26,selected_2,split_008,kfold,,0,0,42,3164,791,42,completed,
27,selected_2,split_009,kfold,,0,1,42,3164,791,42,completed,
28,selected_2,split_010,kfold,,0,2,42,3164,791,42,completed,
29,selected_2,split_011,kfold,,0,3,42,3164,791,42,completed,
30,selected_2,split_012,kfold,,0,4,42,3164,791,42,completed,
31,selected_2,split_013,kfold_5,,0,0,42,3164,791,42,completed,
32,selected_2,split_014,kfold_5,,0,1,42,3164,791,42,completed,
33,selected_2,split_015,kfold_5,,0,2,42,3164,791,42,completed,
34,selected_2,split_016,kfold_5,,0,3,42,3164,791,42,completed,
35,selected_2,split_017,kfold_5,,0,4,42,3164,791,42,completed,
36,selected_5,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
37,selected_5,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
38,selected_5,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
39,selected_5,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
40,selected_5,split_004,iid_matched,,0,0,42,2966,989,42,completed,
41,selected_5,split_005,iid_matched,,0,1,42,2966,989,42,completed,
42,selected_5,split_006,iid_matched,,0,2,42,2966,989,42,completed,
43,selected_5,split_007,iid_matched,,0,3,42,2967,988,42,completed,
44,selected_5,split_008,kfold,,0,0,42,3164,791,42,completed,
45,selected_5,split_009,kfold,,0,1,42,3164,791,42,completed,
46,selected_5,split_010,kfold,,0,2,42,3164,791,42,completed,
47,selected_5,split_011,kfold,,0,3,42,3164,791,42,completed,
48,selected_5,split_012,kfold,,0,4,42,3164,791,42,completed,
49,selected_5,split_013,kfold_5,,0,0,42,3164,791,42,completed,
50,selected_5,split_014,kfold_5,,0,1,42,3164,791,42,completed,
51,selected_5,split_015,kfold_5,,0,2,42,3164,791,42,completed,
52,selected_5,split_016,kfold_5,,0,3,42,3164,791,42,completed,
53,selected_5,split_017,kfold_5,,0,4,42,3164,791,42,completed,
54,pc_top,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
55,pc_top,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
56,pc_top,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
57,pc_top,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
58,pc_top,split_004,iid_matched,,0,0,42,2966,989,42,completed,
59,pc_top,split_005,iid_matched,,0,1,42,2966,989,42,completed,
60,pc_top,split_006,iid_matched,,0,2,42,2966,989,42,completed,
61,pc_top,split_007,iid_matched,,0,3,42,2967,988,42,completed,
62,pc_top,split_008,kfold,,0,0,42,3164,791,42,completed,
63,pc_top,split_009,kfold,,0,1,42,3164,791,42,completed,
64,pc_top,split_010,kfold,,0,2,42,3164,791,42,completed,
65,pc_top,split_011,kfold,,0,3,42,3164,791,42,completed,
66,pc_top,split_012,kfold,,0,4,42,3164,791,42,completed,
67,pc_top,split_013,kfold_5,,0,0,42,3164,791,42,completed,
68,pc_top,split_014,kfold_5,,0,1,42,3164,791,42,completed,
69,pc_top,split_015,kfold_5,,0,2,42,3164,791,42,completed,
70,pc_top,split_016,kfold_5,,0,3,42,3164,791,42,completed,
71,pc_top,split_017,kfold_5,,0,4,42,3164,791,42,completed,
72,pc_scores,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
73,pc_scores,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
74,pc_scores,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
75,pc_scores,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
76,pc_scores,split_004,iid_matched,,0,0,42,2966,989,42,completed,
77,pc_scores,split_005,iid_matched,,0,1,42,2966,989,42,completed,
78,pc_scores,split_006,iid_matched,,0,2,42,2966,989,42,completed,
79,pc_scores,split_007,iid_matched,,0,3,42,2967,988,42,completed,
80,pc_scores,split_008,kfold,,0,0,42,3164,791,42,completed,
81,pc_scores,split_009,kfold,,0,1,42,3164,791,42,completed,
82,pc_scores,split_010,kfold,,0,2,42,3164,791,42,completed,
83,pc_scores,split_011,kfold,,0,3,42,3164,791,42,completed,
84,pc_scores,split_012,kfold,,0,4,42,3164,791,42,completed,
85,pc_scores,split_013,kfold_5,,0,0,42,3164,791,42,completed,
86,pc_scores,split_014,kfold_5,,0,1,42,3164,791,42,completed,
87,pc_scores,split_015,kfold_5,,0,2,42,3164,791,42,completed,
88,pc_scores,split_016,kfold_5,,0,3,42,3164,791,42,completed,
89,pc_scores,split_017,kfold_5,,0,4,42,3164,791,42,completed,
90,rxnpredict_full,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
91,rxnpredict_full,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
92,rxnpredict_full,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
93,rxnpredict_full,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
94,rxnpredict_full,split_004,iid_matched,,0,0,42,2966,989,42,completed,
95,rxnpredict_full,split_005,iid_matched,,0,1,42,2966,989,42,completed,
96,rxnpredict_full,split_006,iid_matched,,0,2,42,2966,989,42,completed,
97,rxnpredict_full,split_007,iid_matched,,0,3,42,2967,988,42,completed,
98,rxnpredict_full,split_008,kfold,,0,0,42,3164,791,42,completed,
99,rxnpredict_full,split_009,kfold,,0,1,42,3164,791,42,completed,
100,rxnpredict_full,split_010,kfold,,0,2,42,3164,791,42,completed,
101,rxnpredict_full,split_011,kfold,,0,3,42,3164,791,42,completed,
102,rxnpredict_full,split_012,kfold,,0,4,42,3164,791,42,completed,
103,rxnpredict_full,split_013,kfold_5,,0,0,42,3164,791,42,completed,
104,rxnpredict_full,split_014,kfold_5,,0,1,42,3164,791,42,completed,
105,rxnpredict_full,split_015,kfold_5,,0,2,42,3164,791,42,completed,
106,rxnpredict_full,split_016,kfold_5,,0,3,42,3164,791,42,completed,
107,rxnpredict_full,split_017,kfold_5,,0,4,42,3164,791,42,completed,
108,rxnpredict_full_ohe,split_000,lolo,AdBrettPhos,0,0,42,2965,990,42,completed,
109,rxnpredict_full_ohe,split_001,lolo,XPhos,0,1,42,2965,990,42,completed,
110,rxnpredict_full_ohe,split_002,lolo,t-BuBrettPhos,0,2,42,2966,989,42,completed,
111,rxnpredict_full_ohe,split_003,lolo,t-BuXPhos,0,3,42,2969,986,42,completed,
112,rxnpredict_full_ohe,split_004,iid_matched,,0,0,42,2966,989,42,completed,
113,rxnpredict_full_ohe,split_005,iid_matched,,0,1,42,2966,989,42,completed,
114,rxnpredict_full_ohe,split_006,iid_matched,,0,2,42,2966,989,42,completed,
115,rxnpredict_full_ohe,split_007,iid_matched,,0,3,42,2967,988,42,completed,
116,rxnpredict_full_ohe,split_008,kfold,,0,0,42,3164,791,42,completed,
117,rxnpredict_full_ohe,split_009,kfold,,0,1,42,3164,791,42,completed,
118,rxnpredict_full_ohe,split_010,kfold,,0,2,42,3164,791,42,completed,
119,rxnpredict_full_ohe,split_011,kfold,,0,3,42,3164,791,42,completed,
120,rxnpredict_full_ohe,split_012,kfold,,0,4,42,3164,791,42,completed,
121,rxnpredict_full_ohe,split_013,kfold_5,,0,0,42,3164,791,42,completed,
122,rxnpredict_full_ohe,split_014,kfold_5,,0,1,42,3164,791,42,completed,
123,rxnpredict_full_ohe,split_015,kfold_5,,0,2,42,3164,791,42,completed,
124,rxnpredict_full_ohe,split_016,kfold_5,,0,3,42,3164,791,42,completed,
125,rxnpredict_full_ohe,split_017,kfold_5,,0,4,42,3164,791,42,completed,
