task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed
0,ligand_ohe,split_000,lolo,AmPhos,0,0,,2688,384,42
1,ligand_ohe,split_001,lolo,CataCXium A,0,1,,2688,384,42
2,ligand_ohe,split_002,lolo,P(Cy)3,0,2,,2688,384,42
3,ligand_ohe,split_003,lolo,P(Ph)3,0,3,,2688,384,42
4,ligand_ohe,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42
5,ligand_ohe,split_005,lolo,P(tBu)3,0,5,,2688,384,42
6,ligand_ohe,split_006,lolo,SPhos,0,6,,2688,384,42
7,ligand_ohe,split_007,lolo,XPhos,0,7,,2688,384,42
8,ligand_ohe,split_008,iid_matched,,0,0,2110739950.0,2688,384,42
9,ligand_ohe,split_009,iid_matched,,0,1,2110739950.0,2688,384,42
10,ligand_ohe,split_010,iid_matched,,0,2,2110739950.0,2688,384,42
11,ligand_ohe,split_011,iid_matched,,0,3,2110739950.0,2688,384,42
12,ligand_ohe,split_012,iid_matched,,0,4,2110739950.0,2688,384,42
13,ligand_ohe,split_013,iid_matched,,0,5,2110739950.0,2688,384,42
14,ligand_ohe,split_014,iid_matched,,0,6,2110739950.0,2688,384,42
15,ligand_ohe,split_015,iid_matched,,0,7,2110739950.0,2688,384,42
16,ligand_ohe,split_016,kfold,,0,0,42.0,2457,615,42
17,ligand_ohe,split_017,kfold,,0,1,42.0,2457,615,42
18,ligand_ohe,split_018,kfold,,0,2,42.0,2458,614,42
19,ligand_ohe,split_019,kfold,,0,3,42.0,2458,614,42
20,ligand_ohe,split_020,kfold,,0,4,42.0,2458,614,42
21,ligand_ohe,split_021,holdout,,0,0,42.0,2457,615,42
22,selected_5,split_000,lolo,AmPhos,0,0,,2688,384,42
23,selected_5,split_001,lolo,CataCXium A,0,1,,2688,384,42
24,selected_5,split_002,lolo,P(Cy)3,0,2,,2688,384,42
25,selected_5,split_003,lolo,P(Ph)3,0,3,,2688,384,42
26,selected_5,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42
27,selected_5,split_005,lolo,P(tBu)3,0,5,,2688,384,42
28,selected_5,split_006,lolo,SPhos,0,6,,2688,384,42
29,selected_5,split_007,lolo,XPhos,0,7,,2688,384,42
30,selected_5,split_008,iid_matched,,0,0,2110739950.0,2688,384,42
31,selected_5,split_009,iid_matched,,0,1,2110739950.0,2688,384,42
32,selected_5,split_010,iid_matched,,0,2,2110739950.0,2688,384,42
33,selected_5,split_011,iid_matched,,0,3,2110739950.0,2688,384,42
34,selected_5,split_012,iid_matched,,0,4,2110739950.0,2688,384,42
35,selected_5,split_013,iid_matched,,0,5,2110739950.0,2688,384,42
36,selected_5,split_014,iid_matched,,0,6,2110739950.0,2688,384,42
37,selected_5,split_015,iid_matched,,0,7,2110739950.0,2688,384,42
38,selected_5,split_016,kfold,,0,0,42.0,2457,615,42
39,selected_5,split_017,kfold,,0,1,42.0,2457,615,42
40,selected_5,split_018,kfold,,0,2,42.0,2458,614,42
41,selected_5,split_019,kfold,,0,3,42.0,2458,614,42
42,selected_5,split_020,kfold,,0,4,42.0,2458,614,42
43,selected_5,split_021,holdout,,0,0,42.0,2457,615,42
44,selected_2,split_000,lolo,AmPhos,0,0,,2688,384,42
45,selected_2,split_001,lolo,CataCXium A,0,1,,2688,384,42
46,selected_2,split_002,lolo,P(Cy)3,0,2,,2688,384,42
47,selected_2,split_003,lolo,P(Ph)3,0,3,,2688,384,42
48,selected_2,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42
49,selected_2,split_005,lolo,P(tBu)3,0,5,,2688,384,42
50,selected_2,split_006,lolo,SPhos,0,6,,2688,384,42
51,selected_2,split_007,lolo,XPhos,0,7,,2688,384,42
52,selected_2,split_008,iid_matched,,0,0,2110739950.0,2688,384,42
53,selected_2,split_009,iid_matched,,0,1,2110739950.0,2688,384,42
54,selected_2,split_010,iid_matched,,0,2,2110739950.0,2688,384,42
55,selected_2,split_011,iid_matched,,0,3,2110739950.0,2688,384,42
56,selected_2,split_012,iid_matched,,0,4,2110739950.0,2688,384,42
57,selected_2,split_013,iid_matched,,0,5,2110739950.0,2688,384,42
58,selected_2,split_014,iid_matched,,0,6,2110739950.0,2688,384,42
59,selected_2,split_015,iid_matched,,0,7,2110739950.0,2688,384,42
60,selected_2,split_016,kfold,,0,0,42.0,2457,615,42
61,selected_2,split_017,kfold,,0,1,42.0,2457,615,42
62,selected_2,split_018,kfold,,0,2,42.0,2458,614,42
63,selected_2,split_019,kfold,,0,3,42.0,2458,614,42
64,selected_2,split_020,kfold,,0,4,42.0,2458,614,42
65,selected_2,split_021,holdout,,0,0,42.0,2457,615,42
66,pc_top,split_000,lolo,AmPhos,0,0,,2688,384,42
67,pc_top,split_001,lolo,CataCXium A,0,1,,2688,384,42
68,pc_top,split_002,lolo,P(Cy)3,0,2,,2688,384,42
69,pc_top,split_003,lolo,P(Ph)3,0,3,,2688,384,42
70,pc_top,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42
71,pc_top,split_005,lolo,P(tBu)3,0,5,,2688,384,42
72,pc_top,split_006,lolo,SPhos,0,6,,2688,384,42
73,pc_top,split_007,lolo,XPhos,0,7,,2688,384,42
