task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
0,ligand_ohe,split_000,lolo,AmPhos,0,0,,2688,384,42,0.8079042716613946,13.851206449994326,10.337941374553237,0.6943743694638684,4.212194970368667,9.685152414481932,0.04371390264026404,-0.13960851671424424,0.4505208333333333,13.065072065309792,0.6901041666666666,24.82404447863477,0.875,37.96509983433146,35,103.23575067985803,training_objective_plateau
1,ligand_ohe,split_001,lolo,CataCXium A,0,1,,2688,384,42,0.7417513720693414,15.711280799481962,12.157879581361078,0.6800301907144318,4.524960547034465,9.571338131145687,0.11670070132013205,-0.16979947137240228,0.34375,12.911538930237372,0.6197916666666666,24.532326732652972,0.7916666666666666,37.51895604180091,35,97.92468376271427,training_objective_plateau
2,ligand_ohe,split_002,lolo,P(Cy)3,0,2,,2688,384,42,0.7432039017074278,15.003200847003155,11.305236976356879,0.6734031945473381,4.411085419082296,9.539872875039505,0.06049195544554456,-0.009892864785930282,0.3828125,12.869092944775543,0.6640625,24.451678036206687,0.8359375,37.39561450433602,35,100.1947213402018,training_objective_plateau
3,ligand_ohe,split_003,lolo,P(Ph)3,0,3,,2688,384,42,0.6515597649421183,19.61078849527355,15.071619707171587,0.6241806086331863,5.28159869090372,9.556785776848601,0.18629847359735976,0.005131671192003636,0.2552083333333333,12.891908102608157,0.546875,24.495027547789388,0.71875,37.4619118611758,35,103.59617479890585,training_objective_plateau
4,ligand_ohe,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,0.42339112942953594,20.852519539481836,16.020328064966794,0.5962096868779311,5.49619441644914,9.714960912078466,0.18649339933993395,-0.20751234952710856,0.2604166666666667,13.105283117505008,0.4947916666666667,24.900446732157516,0.6953125,38.08194699777638,35,96.44741261005402,training_objective_plateau
5,ligand_ohe,split_005,lolo,P(tBu)3,0,5,,2688,384,42,0.509446251997882,20.24621552453083,14.432225396810113,0.6123309392150823,5.51065605725347,9.319942888292877,0.10935849834983495,-0.19824543653633267,0.3255208333333333,12.572411901132819,0.5833333333333334,23.887974798556,0.7473958333333334,36.53350479804848,35,99.20564245805144,training_objective_plateau
6,ligand_ohe,split_006,lolo,SPhos,0,6,,2688,384,42,0.43589918719406295,20.960861256825904,14.821273644680454,0.6084697827639556,5.5647489319139885,9.599033892219078,0.07489480198019802,-0.21741354216901457,0.3567708333333333,12.948899944173135,0.5963541666666666,24.603313824578077,0.75,37.62752143025745,35,100.24896506406367,training_objective_plateau
7,ligand_ohe,split_007,lolo,XPhos,0,7,,2688,384,42,0.1593446697003419,24.769235298931147,18.308230606359036,0.520212977777042,6.548667126494975,9.533853106803617,0.10999381188118812,-0.27396631799554444,0.25,12.860972400828219,0.4947916666666667,24.43624874939286,0.6302083333333334,37.37201744646078,35,95.50852147117257,training_objective_plateau
8,ligand_ohe,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,0.9012854048661005,9.309731380803582,6.861403901442004,0.7768801875449307,3.6467663506722694,8.820668383214679,0.021469678217821777,0.13976658132989725,0.5442708333333334,11.89890082871389,0.796875,22.608282751317063,0.9244791666666666,34.576384701343834,36,100.95746933482587,training_objective_plateau
9,ligand_ohe,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,0.9129686809090704,9.012944552655691,6.991563459646145,0.7614391328309439,3.6119141850811793,8.922420757355253,0.011579001650165012,0.14404415753958835,0.5130208333333334,12.036162695545755,0.8229166666666666,22.869084580072524,0.9479166666666666,34.975246678657776,36,98.1550844181329,training_objective_plateau
10,ligand_ohe,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,0.8730509959059218,10.464622561679159,7.392394716837614,0.7693123637444963,3.8261409112624745,8.472560413334177,0.014134694719471937,-0.017258655182937167,0.53125,11.429310313421963,0.7708333333333334,21.71604612375924,0.9166666666666666,33.21182653394957,36,95.83875142596662,training_objective_plateau
11,ligand_ohe,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,0.8968687436617107,9.823438984515484,7.331443512991303,0.7720009265648138,3.7206640081767866,8.662456599555108,0.03573535478547855,0.11002827133701808,0.5234375,11.685476375836648,0.7916666666666666,22.202769633244007,0.8984375,33.95620590553864,36,95.77345816511661,training_objective_plateau
12,ligand_ohe,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,0.906334190298628,9.228959919907226,6.806065763662958,0.7917774529607489,3.6478646941924846,8.823444905428625,0.022351485148514847,-0.048924883862873414,0.5885416666666666,11.902646300262887,0.7916666666666666,22.615399264097164,0.9296875,34.587268468427055,36,95.42716318089515,training_objective_plateau
13,ligand_ohe,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,0.9021330921037944,9.358211070375246,6.980330158360562,0.7881326573202625,3.6647216936752254,8.813092035998283,0.016616130363036295,0.033813493947305956,0.546875,11.88868049163112,0.8098958333333334,22.588863792044503,0.9270833333333334,34.546685965986825,36,95.26163270045072,training_objective_plateau
14,ligand_ohe,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,0.8928681721749065,9.995286311249473,7.316531454476331,0.7754280525468158,3.74167225212194,8.710156772111896,0.014678217821782183,0.10762902241361771,0.5286458333333334,11.749822930780923,0.7942708333333334,22.325030094877803,0.9322916666666666,34.14318714607393,36,98.33544525969774,training_objective_plateau
15,ligand_ohe,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,0.8815708835198945,10.20021506600497,7.514386562484721,0.7667598254568427,3.778509491201778,8.603714608970854,0.01851485148514851,0.07338213353226408,0.5234375,11.606234634726261,0.7760416666666666,22.052207853251094,0.8958333333333334,33.72594153368798,36,95.78555200528353,training_objective_plateau
16,ligand_ohe,split_016,kfold,,0,0,42.0,2457,615,42,0.8843876857083143,10.05804548024672,7.388119091952393,0.7613649923331889,3.744962663859602,8.896251826463992,0.02154391048860983,0.0790367612843183,0.5398373983739837,12.000861344226267,0.8016260162601626,22.802010911367876,0.9138211382113821,34.87266635453619,36,88.58724015858024,training_objective_plateau
17,ligand_ohe,split_017,kfold,,0,1,42.0,2457,615,42,0.8935932176272667,9.644301031044252,7.229679494066897,0.7869951792313911,3.686468246859829,8.982055488976858,0.01948482653143363,0.037068135646033486,0.5333333333333333,12.116608726014693,0.8048780487804879,23.021934547413526,0.9252032520325203,35.20901053106989,36,85.02466262038797,training_objective_plateau
18,ligand_ohe,split_018,kfold,,0,2,42.0,2458,614,42,0.8953786411478446,9.790638088657351,7.148496111378312,0.7717263963302584,3.7125165970393197,8.909029809022767,0.014331602541361625,0.007010236486517137,0.5407166123778502,12.018098580754422,0.8143322475570033,22.83476219847328,0.9381107491856677,34.922755125756765,36,85.71771669294685,training_objective_plateau
19,ligand_ohe,split_019,kfold,,0,3,42.0,2458,614,42,0.9066019769108405,9.381491145426207,7.055236257375946,0.7756367696580401,3.657139522867753,9.075201392681521,0.017577321250040318,0.09468556270867001,0.5570032573289903,12.242260640657785,0.8241042345276873,23.260677104847083,0.9429967426710097,35.57413576420704,36,82.44687092583627,training_objective_plateau
20,ligand_ohe,split_020,kfold,,0,4,42.0,2458,614,42,0.8865356144920106,10.182335456727131,7.427957641889919,0.7629033089153662,3.7674892319690763,8.86367382458468,0.03465024026832649,-0.03634462704017235,0.5162866449511401,11.956914287527336,0.7947882736156352,22.718510132746385,0.9185667752442996,34.744962933792735,36,88.0753238638863,training_objective_plateau
21,ligand_ohe,split_021,holdout,,0,0,42.0,2457,615,42,0.8843876857083162,10.058045480246635,7.388119091952371,0.7613649923331889,3.744962663859588,8.896251826464058,0.02154391048860983,0.0790367612843183,0.5398373983739837,12.000861344226353,0.8016260162601626,22.80201091136805,0.9138211382113821,34.872666354536456,36,88.36022960394621,training_objective_plateau
22,selected_5,split_000,lolo,AmPhos,0,0,,2688,384,42,-0.0008776230588860567,31.61689657033547,28.848427645168346,0.6850719805903881,4.875979725328345,29.8717135753824,0.07240408415841584,,0.2578125,40.29632925477716,0.75,76.56428259606243,1.0,117.09496552849144,33,97.36506341025233,training_objective_plateau
23,selected_5,split_001,lolo,CataCXium A,0,1,,2688,384,42,0.6981788276669232,16.98507348012495,13.373414225364101,0.7145450717069971,4.253972701430208,16.139425901132814,0.1194554455445545,-0.03698892937366788,0.5546875,21.771754688726485,0.78125,41.36701306117567,0.9270833333333334,63.26538699474645,33,100.76337975170463,training_objective_plateau
