task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed
0,ligand_ohe,split_000,lolo,AmPhos,0,0,,2688,384,42
1,ligand_ohe,split_001,iid_matched,AmPhos,0,0,2110739950.0,2688,384,42
2,ligand_ohe,split_002,iid_matched,AmPhos,1,0,1391648318.0,2688,384,42
3,ligand_ohe,split_003,iid_matched,AmPhos,2,0,2503568095.0,2688,384,42
4,ligand_ohe,split_004,iid_matched,AmPhos,3,0,2350088279.0,2688,384,42
5,ligand_ohe,split_005,iid_matched,AmPhos,4,0,3247081406.0,2688,384,42
6,ligand_ohe,split_006,lolo,CataCXium A,0,1,,2688,384,42
7,ligand_ohe,split_007,iid_matched,CataCXium A,0,1,3085377945.0,2688,384,42
8,ligand_ohe,split_008,iid_matched,CataCXium A,1,1,3992813205.0,2688,384,42
9,ligand_ohe,split_009,iid_matched,CataCXium A,2,1,3331582944.0,2688,384,42
10,ligand_ohe,split_010,iid_matched,CataCXium A,3,1,1425948976.0,2688,384,42
11,ligand_ohe,split_011,iid_matched,CataCXium A,4,1,3473989169.0,2688,384,42
12,ligand_ohe,split_012,lolo,P(Cy)3,0,2,,2688,384,42
13,ligand_ohe,split_013,iid_matched,P(Cy)3,0,2,1543309621.0,2688,384,42
14,ligand_ohe,split_014,iid_matched,P(Cy)3,1,2,4212243904.0,2688,384,42
15,ligand_ohe,split_015,iid_matched,P(Cy)3,2,2,2998352114.0,2688,384,42
16,ligand_ohe,split_016,iid_matched,P(Cy)3,3,2,3561523259.0,2688,384,42
17,ligand_ohe,split_017,iid_matched,P(Cy)3,4,2,487960984.0,2688,384,42
18,ligand_ohe,split_018,lolo,P(Ph)3,0,3,,2688,384,42
19,ligand_ohe,split_019,iid_matched,P(Ph)3,0,3,1863327358.0,2688,384,42
20,ligand_ohe,split_020,iid_matched,P(Ph)3,1,3,2196199863.0,2688,384,42
21,ligand_ohe,split_021,iid_matched,P(Ph)3,2,3,2370151141.0,2688,384,42
22,ligand_ohe,split_022,iid_matched,P(Ph)3,3,3,1386322366.0,2688,384,42
23,ligand_ohe,split_023,iid_matched,P(Ph)3,4,3,1717257290.0,2688,384,42
24,ligand_ohe,split_024,lolo,P(o-Tol)3,0,4,,2688,384,42
25,ligand_ohe,split_025,iid_matched,P(o-Tol)3,0,4,957872253.0,2688,384,42
26,ligand_ohe,split_026,iid_matched,P(o-Tol)3,1,4,159318712.0,2688,384,42
27,ligand_ohe,split_027,iid_matched,P(o-Tol)3,2,4,2995609731.0,2688,384,42
28,ligand_ohe,split_028,iid_matched,P(o-Tol)3,3,4,3834639872.0,2688,384,42
29,ligand_ohe,split_029,iid_matched,P(o-Tol)3,4,4,1096830298.0,2688,384,42
30,ligand_ohe,split_030,lolo,P(tBu)3,0,5,,2688,384,42
31,ligand_ohe,split_031,iid_matched,P(tBu)3,0,5,3903455144.0,2688,384,42
32,ligand_ohe,split_032,iid_matched,P(tBu)3,1,5,1214467537.0,2688,384,42
33,ligand_ohe,split_033,iid_matched,P(tBu)3,2,5,3518918101.0,2688,384,42
34,ligand_ohe,split_034,iid_matched,P(tBu)3,3,5,3839849329.0,2688,384,42
35,ligand_ohe,split_035,iid_matched,P(tBu)3,4,5,3820970956.0,2688,384,42
36,ligand_ohe,split_036,lolo,SPhos,0,6,,2688,384,42
37,ligand_ohe,split_037,iid_matched,SPhos,0,6,1091589161.0,2688,384,42
38,ligand_ohe,split_038,iid_matched,SPhos,1,6,2885012696.0,2688,384,42
39,ligand_ohe,split_039,iid_matched,SPhos,2,6,328363833.0,2688,384,42
40,ligand_ohe,split_040,iid_matched,SPhos,3,6,607111100.0,2688,384,42
41,ligand_ohe,split_041,iid_matched,SPhos,4,6,3785335315.0,2688,384,42
42,ligand_ohe,split_042,lolo,XPhos,0,7,,2688,384,42
43,ligand_ohe,split_043,iid_matched,XPhos,0,7,365121658.0,2688,384,42
44,ligand_ohe,split_044,iid_matched,XPhos,1,7,1892714960.0,2688,384,42
45,ligand_ohe,split_045,iid_matched,XPhos,2,7,2024858724.0,2688,384,42
46,ligand_ohe,split_046,iid_matched,XPhos,3,7,2487897806.0,2688,384,42
47,ligand_ohe,split_047,iid_matched,XPhos,4,7,2500767089.0,2688,384,42
48,ligand_ohe,split_048,kfold,,0,0,42.0,2457,615,42
49,ligand_ohe,split_049,kfold,,0,1,42.0,2457,615,42
50,ligand_ohe,split_050,kfold,,0,2,42.0,2458,614,42
51,ligand_ohe,split_051,kfold,,0,3,42.0,2458,614,42
52,ligand_ohe,split_052,kfold,,0,4,42.0,2458,614,42
53,ligand_ohe,split_053,holdout,,0,0,42.0,2457,615,42
54,selected_5,split_000,lolo,AmPhos,0,0,,2688,384,42
